"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","expName","date","question_order","success","final_height_px","final_width_px","scale_factor","screenWidth_Inches","screenHeight_Inches","screenDiagonal_Inches","view_history","stimulus","key_press","FinalLinePosition","FaceType","TiltDirection","TubeType","timeViewing","timeMoving","timeHumanize","nHumanizeTrials","HumanizeImage","ViewingImage","MovingImage","isPractice","BreakLength"
"","","Davis-Tube-Tilt","27","72788","0.0-8.0-0.15","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","ST","481.34500003652647","163.00500003853813","415.45500000938773","1","images/Humanize/OC_ST.jpg","images/Viewing/OC_RIGHT_ST.jpg","images/Moving/Open_Closed.jpg","false","818.1500000064261"
"","","Davis-Tube-Tilt","28","75091","0.0-8.0-0.16","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","TF","365.74999999720603","430.0950000179","501.360000052955","1","images/Humanize/OC_TF.jpg","images/Viewing/OC_RIGHT_TF.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","29","77046","0.0-8.0-0.17","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","TT","239.8649999522604","162.45500004151836","547.6699999999255","1","images/Humanize/CO_TT.jpg","images/Viewing/CO_LEFT_TT.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","30","79348","0.0-8.0-0.18","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","TT","641.2149999523535","123.06499999249354","528.6249999771826","1","images/Humanize/OC_TT.jpg","images/Viewing/OC_LEFT_TT.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","31","82927","0.0-8.0-0.19","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","4","CO","RIGHT","SF","1523.685000021942","453.5800000303425","591.2649999954738","1","images/Humanize/CO_SF.jpg","images/Viewing/CO_RIGHT_SF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","32","86715","0.0-8.0-0.20","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","ST","416.0050000064075","142.46999996248633","2222.4350000033155","2","images/Humanize/CO_ST.jpg","images/Viewing/CO_LEFT_ST.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","33","89341","0.0-8.0-0.21","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","8","CO","RIGHT","ST","316.2599999923259","793.3649999904446","506.58499996643513","1","images/Humanize/CO_ST.jpg","images/Viewing/CO_RIGHT_ST.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","34","91322","0.0-8.0-0.22","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","TF","470.3999999910593","250.56999997468665","255.50999998813495","1","images/Humanize/OC_TF.jpg","images/Viewing/OC_LEFT_TF.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","35","95689","0.0-8.0-0.23","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","SF","362.1749999583699","780.0750000169501","2212.7699999837205","2","images/Humanize/CO_SF.jpg","images/Viewing/CO_LEFT_SF.jpg","images/Moving/Closed_Open.jpg","false","927.7749999891967"
"","","Davis-Tube-Tilt","36","98050","0.0-8.0-0.24","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","ST","630.5649999994785","119.30999998003244","602.6599999750033","1","images/Humanize/OC_ST.jpg","images/Viewing/OC_LEFT_ST.jpg","images/Moving/Open_Closed.jpg","false",""
